#Drucktemperatur = 225
#Heizbetttemperatur = 60
#Materialmenge = 11
#Infill = 20
#Lagenhoehe = 0.2
#Wand = 4
#Nivellierung = 1
timestamp,power
2024-12-29 09:44:03.595856,10
2024-12-29 09:44:13.633522,947
2024-12-29 09:44:23.673836,907
2024-12-29 09:44:33.712546,898
2024-12-29 09:44:43.766849,879
2024-12-29 09:44:53.813255,217
2024-12-29 09:45:03.855905,91
2024-12-29 09:45:13.892313,180
2024-12-29 09:45:23.931399,83
2024-12-29 09:45:33.975498,136
2024-12-29 09:45:44.032995,95
2024-12-29 09:45:54.070932,148
2024-12-29 09:46:04.116416,67
2024-12-29 09:46:14.155412,135
2024-12-29 09:46:24.193424,121
2024-12-29 09:46:34.235660,126
2024-12-29 09:46:44.273417,88
2024-12-29 09:46:54.310780,128
2024-12-29 09:47:04.349609,144
2024-12-29 09:47:14.387956,110
2024-12-29 09:47:24.427366,94
2024-12-29 09:47:34.464100,142
2024-12-29 09:47:44.503744,152
2024-12-29 09:47:54.545421,100
2024-12-29 09:48:04.591890,116
2024-12-29 09:48:14.630992,141
2024-12-29 09:48:24.670410,155
2024-12-29 09:48:34.708532,83
2024-12-29 09:48:44.745768,131
2024-12-29 09:48:54.785236,122
2024-12-29 09:49:04.826820,133
2024-12-29 09:49:14.869087,77
2024-12-29 09:49:24.905605,141
2024-12-29 09:49:34.942427,70
2024-12-29 09:49:44.980277,145
2024-12-29 09:49:55.062449,68
2024-12-29 09:50:05.101423,132
2024-12-29 09:50:15.145303,66
2024-12-29 09:50:25.192618,150
2024-12-29 09:50:35.229834,91
2024-12-29 09:50:45.268901,140
2024-12-29 09:50:55.309311,69
2024-12-29 09:51:05.457372,112
2024-12-29 09:51:15.497330,93
2024-12-29 09:51:25.531113,81
2024-12-29 09:51:35.568988,71
2024-12-29 09:51:45.605573,90
2024-12-29 09:51:55.641618,82
2024-12-29 09:52:05.678998,81
2024-12-29 09:52:15.718880,82
2024-12-29 09:52:25.756527,90
2024-12-29 09:52:35.797472,92
2024-12-29 09:52:45.838563,76
2024-12-29 09:52:55.885969,81
2024-12-29 09:53:05.924671,69
2024-12-29 09:53:15.964291,81
2024-12-29 09:53:26.008504,55
2024-12-29 09:53:36.204514,81
2024-12-29 09:53:46.245413,61
2024-12-29 09:53:56.285976,68
2024-12-29 09:54:06.324173,65
2024-12-29 09:54:16.361704,96
2024-12-29 09:54:26.400584,116
2024-12-29 09:54:36.440617,156
2024-12-29 09:54:46.502145,102
2024-12-29 09:54:56.541607,179
2024-12-29 09:55:06.585842,168
2024-12-29 09:55:16.623690,147
2024-12-29 09:55:26.665800,94
2024-12-29 09:55:36.708373,169
2024-12-29 09:55:46.780645,169
2024-12-29 09:55:56.862212,148
2024-12-29 09:56:06.911635,172
2024-12-29 09:56:16.950317,168
2024-12-29 09:56:26.988309,172
2024-12-29 09:56:37.083848,151
2024-12-29 09:56:47.125541,162
2024-12-29 09:56:57.165430,135
2024-12-29 09:57:07.207947,172
2024-12-29 09:57:17.246159,136
2024-12-29 09:57:27.297600,162
2024-12-29 09:57:37.346599,133
2024-12-29 09:57:47.387956,150
2024-12-29 09:57:57.428135,132
2024-12-29 09:58:07.463066,161
2024-12-29 09:58:17.501463,125
2024-12-29 09:58:27.539970,162
2024-12-29 09:58:37.577644,110
2024-12-29 09:58:47.616193,155
2024-12-29 09:58:57.653536,115
2024-12-29 09:59:07.692085,160
2024-12-29 09:59:17.762853,112
2024-12-29 09:59:27.800473,144
2024-12-29 09:59:37.867528,164
2024-12-29 09:59:47.909346,161
2024-12-29 09:59:57.945853,133
