#Drucktemperatur = 225
#Heizbetttemperatur = 60
#Materialmenge = 45
#Infill = 10
#Lagenhoehe = 0.2
#Wand = 2
#Nivellierung = 1
timestamp,power
2024-12-22 07:01:16.482132,11
2024-12-22 07:01:26.526269,942
2024-12-22 07:01:36.569330,917
2024-12-22 07:01:46.611132,885
2024-12-22 07:01:56.650982,596
2024-12-22 07:02:06.693509,93
2024-12-22 07:02:16.733831,166
2024-12-22 07:02:26.776680,128
2024-12-22 07:02:36.815815,143
2024-12-22 07:02:46.856844,105
2024-12-22 07:02:56.896599,138
2024-12-22 07:03:06.936118,106
2024-12-22 07:03:16.978501,134
2024-12-22 07:03:27.018757,80
2024-12-22 07:03:37.063381,111
2024-12-22 07:03:47.105577,101
2024-12-22 07:03:57.145062,123
2024-12-22 07:04:07.184877,102
2024-12-22 07:04:17.229418,123
2024-12-22 07:04:27.274150,96
2024-12-22 07:04:37.316901,133
2024-12-22 07:04:47.359763,107
2024-12-22 07:04:57.400107,143
2024-12-22 07:05:07.439754,80
2024-12-22 07:05:17.485185,132
2024-12-22 07:05:27.528379,101
2024-12-22 07:05:37.569466,135
2024-12-22 07:05:47.617196,91
2024-12-22 07:05:57.658892,118
2024-12-22 07:06:07.701135,122
2024-12-22 07:06:17.745434,148
2024-12-22 07:06:27.789210,100
2024-12-22 07:06:37.834072,112
2024-12-22 07:06:47.878447,108
2024-12-22 07:06:57.922908,84
2024-12-22 07:07:07.964301,60
2024-12-22 07:07:18.014675,82
2024-12-22 07:07:28.055049,74
2024-12-22 07:07:38.094642,73
2024-12-22 07:07:48.136540,58
2024-12-22 07:07:58.195093,72
2024-12-22 07:08:08.241369,73
2024-12-22 07:08:18.281823,71
2024-12-22 07:08:28.325485,59
2024-12-22 07:08:38.457230,91
2024-12-22 07:08:48.504165,84
2024-12-22 07:08:58.555101,69
2024-12-22 07:09:08.594336,61
2024-12-22 07:09:18.637205,91
2024-12-22 07:09:28.679954,74
2024-12-22 07:09:38.747147,63
2024-12-22 07:09:48.803381,85
2024-12-22 07:09:58.888182,83
2024-12-22 07:10:08.927685,74
2024-12-22 07:10:18.975261,76
2024-12-22 07:10:29.015347,118
2024-12-22 07:10:39.094798,109
2024-12-22 07:10:49.133529,153
2024-12-22 07:10:59.172014,116
2024-12-22 07:11:09.213223,151
2024-12-22 07:11:19.256146,111
2024-12-22 07:11:29.296644,164
2024-12-22 07:11:39.336969,111
2024-12-22 07:11:49.383667,148
2024-12-22 07:11:59.428139,114
2024-12-22 07:12:09.475785,152
2024-12-22 07:12:19.518829,112
2024-12-22 07:12:29.559895,151
2024-12-22 07:12:39.601976,115
2024-12-22 07:12:49.640821,153
2024-12-22 07:12:59.681438,100
2024-12-22 07:13:09.720600,153
2024-12-22 07:13:19.762977,110
2024-12-22 07:13:29.801102,150
2024-12-22 07:13:39.862743,110
2024-12-22 07:13:49.903503,138
2024-12-22 07:13:59.949675,105
2024-12-22 07:14:09.991765,152
2024-12-22 07:14:20.048739,101
2024-12-22 07:14:30.091131,135
2024-12-22 07:14:40.164076,142
2024-12-22 07:14:50.203245,133
2024-12-22 07:15:00.243336,110
2024-12-22 07:15:10.281737,131
2024-12-22 07:15:20.320633,143
2024-12-22 07:15:30.359779,111
2024-12-22 07:15:40.432398,105
2024-12-22 07:15:50.474250,134
2024-12-22 07:16:00.516628,138
2024-12-22 07:16:10.656644,109
2024-12-22 07:16:20.696141,140
2024-12-22 07:16:30.736922,136
2024-12-22 07:16:40.780714,142
2024-12-22 07:16:50.916388,98
2024-12-22 07:17:00.953165,152
2024-12-22 07:17:11.020885,145
2024-12-22 07:17:21.070195,152
2024-12-22 07:17:31.115034,103
2024-12-22 07:17:41.154062,138
2024-12-22 07:17:51.210533,97
2024-12-22 07:18:01.259202,141
2024-12-22 07:18:11.295540,103
2024-12-22 07:18:21.337653,141
2024-12-22 07:18:31.379464,103
2024-12-22 07:18:41.431956,142
2024-12-22 07:18:51.478285,106
2024-12-22 07:19:01.518202,141
2024-12-22 07:19:11.558687,103
2024-12-22 07:19:21.601222,141
2024-12-22 07:19:31.641116,97
2024-12-22 07:19:41.684501,142
2024-12-22 07:19:51.730188,104
2024-12-22 07:20:01.770194,132
2024-12-22 07:20:11.914301,105
2024-12-22 07:20:21.954646,139
2024-12-22 07:20:31.993787,102
2024-12-22 07:20:42.034905,134
2024-12-22 07:20:52.079610,102
2024-12-22 07:21:02.125598,126
2024-12-22 07:21:12.162436,99
2024-12-22 07:21:22.265364,125
2024-12-22 07:21:32.306770,131
2024-12-22 07:21:42.350490,135
2024-12-22 07:21:52.394111,96
2024-12-22 07:22:02.439143,125
2024-12-22 07:22:12.478351,143
2024-12-22 07:22:22.519719,123
2024-12-22 07:22:32.562484,132
2024-12-22 07:22:42.600766,103
2024-12-22 07:22:52.659169,132
2024-12-22 07:23:02.700772,122
2024-12-22 07:23:12.743300,132
2024-12-22 07:23:22.790600,100
2024-12-22 07:23:32.831711,143
2024-12-22 07:23:42.875774,102
2024-12-22 07:23:52.915618,132
2024-12-22 07:24:02.956146,106
2024-12-22 07:24:13.000402,131
2024-12-22 07:24:23.041223,101
2024-12-22 07:24:33.083333,131
2024-12-22 07:24:43.126720,102
2024-12-22 07:24:53.170621,132
2024-12-22 07:25:03.210094,95
2024-12-22 07:25:13.250410,133
2024-12-22 07:25:23.307895,99
2024-12-22 07:25:33.351173,131
2024-12-22 07:25:43.494256,104
2024-12-22 07:25:53.558262,132
2024-12-22 07:26:03.599069,98
2024-12-22 07:26:13.640379,129
2024-12-22 07:26:23.682917,103
2024-12-22 07:26:33.725744,124
2024-12-22 07:26:43.767237,95
2024-12-22 07:26:53.806711,130
2024-12-22 07:27:03.855727,97
2024-12-22 07:27:13.900370,124
2024-12-22 07:27:23.945569,96
2024-12-22 07:27:33.989828,130
2024-12-22 07:27:44.030868,102
2024-12-22 07:27:54.074291,124
2024-12-22 07:28:04.121629,129
2024-12-22 07:28:14.161239,120
2024-12-22 07:28:24.215108,105
2024-12-22 07:28:34.255293,125
2024-12-22 07:28:44.308040,130
2024-12-22 07:28:54.347709,116
2024-12-22 07:29:04.391919,106
2024-12-22 07:29:14.446073,126
2024-12-22 07:29:24.571032,131
2024-12-22 07:29:34.611998,100
2024-12-22 07:29:44.655607,120
2024-12-22 07:29:54.696983,126
2024-12-22 07:30:04.738052,121
2024-12-22 07:30:14.786004,96
2024-12-22 07:30:24.824985,131
2024-12-22 07:30:34.871484,98
2024-12-22 07:30:44.916369,131
2024-12-22 07:30:54.959431,95
2024-12-22 07:31:04.999374,121
2024-12-22 07:31:15.041258,101
2024-12-22 07:31:25.082356,122
2024-12-22 07:31:35.125220,100
2024-12-22 07:31:45.268843,132
2024-12-22 07:31:55.312441,94
2024-12-22 07:32:05.355879,132
2024-12-22 07:32:15.395842,93
2024-12-22 07:32:25.438165,130
2024-12-22 07:32:35.479978,95
2024-12-22 07:32:45.524282,118
2024-12-22 07:32:55.628578,94
2024-12-22 07:33:05.670698,123
2024-12-22 07:33:15.706964,91
2024-12-22 07:33:25.745006,129
2024-12-22 07:33:35.785523,89
2024-12-22 07:33:45.873680,116
2024-12-22 07:33:55.915004,102
2024-12-22 07:34:05.956925,130
2024-12-22 07:34:15.999674,91
2024-12-22 07:34:26.042615,114
2024-12-22 07:34:36.083325,120
2024-12-22 07:34:46.120968,120
2024-12-22 07:34:56.163568,90
2024-12-22 07:35:06.201088,114
2024-12-22 07:35:16.243710,123
2024-12-22 07:35:26.284475,119
2024-12-22 07:35:36.328806,95
2024-12-22 07:35:46.369766,123
2024-12-22 07:35:56.412429,111
2024-12-22 07:36:06.456798,95
2024-12-22 07:36:16.499311,91
2024-12-22 07:36:26.541187,115
2024-12-22 07:36:36.582692,122
2024-12-22 07:36:46.628932,90
2024-12-22 07:36:56.668107,96
2024-12-22 07:37:06.711783,116
2024-12-22 07:37:16.755317,120
2024-12-22 07:37:26.799116,92
2024-12-22 07:37:36.841243,121
2024-12-22 07:37:46.883023,113
2024-12-22 07:37:56.925775,118
2024-12-22 07:38:06.965736,98
2024-12-22 07:38:17.007143,122
2024-12-22 07:38:27.052520,91
2024-12-22 07:38:37.091416,121
2024-12-22 07:38:47.147694,94
2024-12-22 07:38:57.195312,118
2024-12-22 07:39:07.238232,93
2024-12-22 07:39:17.280312,121
2024-12-22 07:39:27.318306,84
2024-12-22 07:39:37.355829,120
2024-12-22 07:39:47.398337,91
2024-12-22 07:39:57.451464,121
2024-12-22 07:40:07.491748,92
2024-12-22 07:40:17.533828,121
2024-12-22 07:40:27.589372,94
2024-12-22 07:40:37.632042,118
2024-12-22 07:40:47.674457,98
2024-12-22 07:40:57.721203,116
2024-12-22 07:41:07.762255,92
2024-12-22 07:41:17.801393,129
2024-12-22 07:41:27.842928,91
2024-12-22 07:41:37.885689,116
2024-12-22 07:41:47.925276,120
2024-12-22 07:41:57.965463,122
2024-12-22 07:42:08.006179,90
2024-12-22 07:42:18.048799,107
2024-12-22 07:42:28.088700,120
2024-12-22 07:42:38.131615,111
2024-12-22 07:42:48.180627,93
2024-12-22 07:42:58.227272,116
2024-12-22 07:43:08.270497,121
2024-12-22 07:43:18.313237,132
2024-12-22 07:43:28.353158,88
2024-12-22 07:43:38.399175,114
2024-12-22 07:43:48.439691,134
2024-12-22 07:43:58.478660,85
2024-12-22 07:44:08.518221,96
2024-12-22 07:44:18.560540,107
2024-12-22 07:44:28.604840,123
2024-12-22 07:44:38.644597,96
2024-12-22 07:44:48.687217,95
2024-12-22 07:44:58.734668,117
2024-12-22 07:45:08.777157,121
2024-12-22 07:45:18.827843,93
2024-12-22 07:45:28.872395,122
2024-12-22 07:45:38.920385,117
2024-12-22 07:45:48.963722,132
2024-12-22 07:45:59.022375,87
2024-12-22 07:46:09.063896,123
2024-12-22 07:46:19.105990,88
2024-12-22 07:46:29.147738,122
2024-12-22 07:46:39.188463,86
2024-12-22 07:46:49.228829,122
2024-12-22 07:46:59.271874,86
2024-12-22 07:47:09.316701,112
2024-12-22 07:47:19.374701,90
2024-12-22 07:47:29.418744,118
2024-12-22 07:47:39.462052,93
2024-12-22 07:47:49.504378,118
2024-12-22 07:47:59.547391,96
2024-12-22 07:48:09.611653,120
2024-12-22 07:48:19.650485,96
2024-12-22 07:48:29.691569,120
2024-12-22 07:48:39.733789,88
2024-12-22 07:48:49.775906,118
2024-12-22 07:48:59.818542,87
2024-12-22 07:49:09.859284,121
2024-12-22 07:49:19.919280,96
2024-12-22 07:49:29.961518,116
2024-12-22 07:49:40.001815,121
2024-12-22 07:49:50.046537,122
2024-12-22 07:50:00.089994,90
2024-12-22 07:50:10.130972,112
2024-12-22 07:50:20.172614,112
2024-12-22 07:50:30.214682,109
2024-12-22 07:50:40.256552,90
2024-12-22 07:50:50.297137,115
2024-12-22 07:51:00.337857,108
2024-12-22 07:51:10.386533,94
2024-12-22 07:51:20.424842,88
2024-12-22 07:51:30.464820,116
2024-12-22 07:51:40.505128,122
2024-12-22 07:51:50.551435,87
2024-12-22 07:52:00.592694,104
2024-12-22 07:52:10.632546,114
2024-12-22 07:52:20.680766,112
2024-12-22 07:52:30.724404,88
2024-12-22 07:52:40.768533,123
2024-12-22 07:52:50.817859,107
2024-12-22 07:53:00.859663,121
2024-12-22 07:53:10.899591,90
2024-12-22 07:53:20.952258,111
2024-12-22 07:53:30.991658,115
2024-12-22 07:53:41.044020,112
2024-12-22 07:53:51.082249,87
2024-12-22 07:54:01.120763,122
2024-12-22 07:54:11.166915,93
2024-12-22 07:54:21.205996,110
2024-12-22 07:54:31.248505,85
2024-12-22 07:54:41.293149,131
2024-12-22 07:54:51.334260,86
2024-12-22 07:55:01.425233,110
2024-12-22 07:55:11.468402,89
2024-12-22 07:55:21.507347,122
2024-12-22 07:55:31.549333,92
2024-12-22 07:55:41.589205,110
2024-12-22 07:55:51.628456,99
2024-12-22 07:56:01.672272,120
2024-12-22 07:56:11.721038,97
2024-12-22 07:56:21.766666,121
2024-12-22 07:56:31.807637,95
2024-12-22 07:56:41.853351,107
2024-12-22 07:56:51.893606,97
2024-12-22 07:57:01.932046,118
2024-12-22 07:57:11.975650,95
2024-12-22 07:57:22.021541,106
2024-12-22 07:57:32.063270,112
2024-12-22 07:57:42.110598,119
2024-12-22 07:57:52.156890,96
2024-12-22 07:58:02.198418,116
2024-12-22 07:58:12.244252,122
2024-12-22 07:58:22.297035,110
2024-12-22 07:58:32.341609,96
2024-12-22 07:58:42.398601,113
2024-12-22 07:58:52.436475,111
2024-12-22 07:59:02.557130,91
2024-12-22 07:59:12.594397,87
2024-12-22 07:59:22.639536,117
2024-12-22 07:59:32.682261,110
2024-12-22 07:59:42.731915,89
2024-12-22 07:59:52.768962,90
2024-12-22 08:00:02.820883,114
2024-12-22 08:00:12.883738,109
2024-12-22 08:00:22.923429,91
2024-12-22 08:00:32.964443,119
2024-12-22 08:00:43.007049,105
2024-12-22 08:00:53.049034,122
2024-12-22 08:01:03.096302,84
2024-12-22 08:01:13.220161,110
2024-12-22 08:01:23.263307,86
2024-12-22 08:01:33.305468,120
2024-12-22 08:01:43.426581,82
2024-12-22 08:01:53.472010,109
2024-12-22 08:02:03.511959,98
2024-12-22 08:02:13.553280,118
2024-12-22 08:02:23.599703,86
